WARNING: Logging before InitGoogleLogging() is written to STDERR
I1018 08:53:49.440793 4097533 dynamic_loader.cc:170] Set paddle lib path : /home/wzy/.local/lib/python3.9/site-packages/paddle/libs
I1018 08:53:50.028918 4097533 init.cc:98] Before Parse: argc is 2, Init commandline: dummy --tryfromenv=use_cuda_managed_memory,use_pinned_memory,enable_pir_in_executor,gpugraph_enable_gpu_direct_access,dataloader_use_file_descriptor,graph_get_neighbor_id,curand_dir,auto_growth_chunk_size_in_mb,add_dependency_for_communication_op,log_memory_stats,initial_gpu_memory_in_mb,enable_interpretercore_launch_cinn,mklml_dir,use_system_allocator,fuse_parameter_memory_size,gpugraph_enable_print_op_debug,async_trace_count,cusparselt_dir,max_inplace_grad_add,allocator_strategy,pir_apply_shape_optimization_pass,prim_forward,eager_delete_scope,gpugraph_parallel_copyer_split_maxsize,free_idle_chunk,local_exe_sub_scope_limit,tracer_onednn_ops_on,enable_record_memory,cache_inference_while_scope,host_trace_level,enable_pe_launch_cinn,fraction_of_cpu_memory_to_use,new_executor_use_inplace,print_ir,enable_neighbor_list_use_uva,pir_apply_inplace_pass,allreduce_record_one_event,enable_unused_var_check,gpugraph_offload_param_stat,graph_embedding_split_infer_mode,enable_graph_multi_node_sampling,call_stack_level,jit_engine_type,enable_pir_in_executor_trace_run,enable_tracker_all2all,low_precision_op_list,enable_dependency_builder_debug_info,enable_pir_api,cuda_dir,ir_inplace_kernel_blacklist,paddle_num_threads,enable_pir_with_pt_in_dy2st,trt_ibuilder_cache,tensorrt_dir,use_shm_cache,free_when_no_cache_hit,fraction_of_gpu_memory_to_use,gpu_memory_limit_mb,einsum_opt,enable_exit_when_partial_worker,allow_cinn_ops,fraction_of_cuda_pinned_memory_to_use,fast_eager_deletion_mode,executor_log_deps_every_microseconds,sync_after_alloc,check_nan_inf,multi_node_sample_use_gpu_table,gpugraph_force_device_batch_num_equal,all_blocks_convert_trt,prim_enabled,use_auto_growth_v2,enable_all2all_use_fp16,gpugraph_offload_gather_copy_maxsize,check_nan_inf_level,dygraph_debug,convert_all_blocks,use_virtual_memory_auto_growth,gpu_allocator_retry_time,cudnn_dir,gpugraph_enable_hbm_table_collision_stat,enable_api_kernel_fallback,cpu_deterministic,query_dest_rank_by_multi_node,run_kp_kernel,graph_load_in_parallel,deny_cinn_ops,sort_sum_gradient,use_stream_safe_cuda_allocator,auto_free_cudagraph_allocations_on_launch,enable_cinn_auto_tune,use_cinn,search_cache_max_number,dist_threadpool_size,initial_cpu_memory_in_mb,gpugraph_hbm_table_load_factor,gpugraph_merge_grads_segment_size,init_allocated_mem,new_executor_use_cuda_graph,use_auto_growth_pinned_allocator,new_executor_sequential_run,new_executor_serial_run,mkl_dir,pir_subgraph_saving_dir,enable_dump_main_program,static_executor_perfstat_filepath,tracer_profile_fname,fuse_parameter_groups_size,prim_forward_blacklist,pe_profile_fname,gpugraph_dedup_pull_push_mode,reallocate_gpu_memory_in_mb,graph_metapath_split_opt,nccl_dir,new_executor_static_build,gpugraph_offload_param_extends,prim_skip_dynamic,gpugraph_slot_feasign_max_num,alloc_fill_value,prim_all,get_host_by_name_time,cupti_dir,use_stride_kernel,print_sub_graph_dir,enable_adjust_op_order,inner_op_parallelism,cusolver_dir,benchmark,enable_async_trace,gpugraph_debug_gpu_memory,gpugraph_storage_mode,apply_pass_to_program,lapack_dir,cusparse_dir,eager_delete_tensor_gb,static_runtime_data_save_path,gpugraph_parallel_stream_num,reader_queue_speed_test_mode,set_to_1d,enable_auto_rdma_trans,npu_storage_format,prim_check_ops,memory_fraction_of_eager_deletion,multiple_of_cupti_buffer_size,check_infer_symbolic,use_autotune,print_allocator_trace_info,cinn_subgraph_graphviz_dir,enable_auto_detect_gpu_topo,tracer_onednn_ops_off,use_mkldnn,prim_backward,gpugraph_sparse_table_storage_mode,fleet_executor_with_standalone,cublas_dir,gpugraph_load_node_list_into_hbm,tensor_operants_mode,enable_sparse_inner_gather,graph_neighbor_size_percent,custom_device_mem_record,save_static_runtime_data,enable_opt_get_features,op_dir,use_cuda_malloc_async_allocator,new_executor_use_local_scope,gpugraph_enable_segment_merge_grads 
I1018 08:53:50.029026 4097533 init.cc:106] After Parse: argc is 2
I1018 08:53:50.029140 4097533 os_info.cc:117] SetCurrentThreadName MainThread
I1018 08:53:50.029151 4097533 init.cc:234] ENV [CUSTOM_DEVICE_ROOT]=/home/wzy/.local/lib/python3.9/site-packages/paddle_custom_device
I1018 08:53:50.029155 4097533 init.cc:143] Try loading custom device libs from: [/home/wzy/.local/lib/python3.9/site-packages/paddle_custom_device]
I1018 08:53:50.029294 4097533 device_manager.cc:741] Found lib: /home/wzy/.local/lib/python3.9/site-packages/paddle_custom_device/libpaddle-custom-mlu.so
I1018 08:53:50.177063 4097533 device_manager.cc:255] Register Device - mlu
I1018 08:53:50.177115 4097533 device_manager.cc:266] GetDeviceCount is 1
I1018 08:53:50.177121 4097533 custom_device.cc:1099] Succeed in loading custom runtime in lib: /home/wzy/.local/lib/python3.9/site-packages/paddle_custom_device/libpaddle-custom-mlu.so
I1018 08:53:50.177127 4097533 custom_kernel.cc:36] Size of custom_kernel_map: 253
I1018 08:53:50.177153 4097533 custom_kernel.cc:58] Succeed in registering kernel [rsqrt:(mlu, Undefined(AnyLayout), float16)] to Paddle. It will be used like native ones.
I1018 08:53:57.572835 4097533 infershape_utils.cc:546] BuildInferMetaContext: op kernel signature - Kernel Signature - name: assign_raw; inputs: X; attributes: ; outputs: Out
I1018 08:53:57.574788 4097533 op_desc.cc:1108] CompileTime infer shape on fill_constant
I1018 08:53:57.575223 4097533 op_desc.cc:1108] CompileTime infer shape on elementwise_max
I1018 08:53:57.575233 4097533 infershape_utils.cc:546] BuildInferMetaContext: op kernel signature - Kernel Signature - name: maximum_raw; inputs: X, Y; attributes: axis; outputs: Out
I1018 08:53:57.577232 4097533 op_desc.cc:1108] CompileTime infer shape on fill_constant
I1018 08:53:57.577708 4097533 op_desc.cc:1108] CompileTime infer shape on fill_constant
I1018 08:53:57.578155 4097533 op_desc.cc:1108] CompileTime infer shape on fill_constant
I1018 08:53:57.578543 4097533 op_desc.cc:1108] CompileTime infer shape on scale
I1018 08:53:57.578555 4097533 infershape_utils.cc:546] BuildInferMetaContext: op kernel signature - Kernel Signature - name: scale; inputs: X; attributes: scale, bias, bias_after_scale; outputs: Out
I1018 08:53:57.579010 4097533 op_desc.cc:1108] CompileTime infer shape on elementwise_pow
I1018 08:53:57.579018 4097533 infershape_utils.cc:546] BuildInferMetaContext: op kernel signature - Kernel Signature - name: elementwise_pow_raw; inputs: X, Y; attributes: axis; outputs: Out
I1018 08:53:57.579485 4097533 op_desc.cc:1108] CompileTime infer shape on reshape2
I1018 08:53:57.579883 4097533 op_desc.cc:1108] CompileTime infer shape on elementwise_sub
I1018 08:53:57.580353 4097533 op_desc.cc:1108] CompileTime infer shape on reshape2
I1018 08:53:57.580749 4097533 op_desc.cc:1108] CompileTime infer shape on scale
I1018 08:53:57.580760 4097533 infershape_utils.cc:546] BuildInferMetaContext: op kernel signature - Kernel Signature - name: scale; inputs: X; attributes: scale, bias, bias_after_scale; outputs: Out
I1018 08:53:57.581210 4097533 op_desc.cc:1108] CompileTime infer shape on elementwise_pow
I1018 08:53:57.581220 4097533 infershape_utils.cc:546] BuildInferMetaContext: op kernel signature - Kernel Signature - name: elementwise_pow_raw; inputs: X, Y; attributes: axis; outputs: Out
I1018 08:53:57.581625 4097533 op_desc.cc:1108] CompileTime infer shape on elementwise_mul
I1018 08:53:57.582077 4097533 op_desc.cc:1108] CompileTime infer shape on reshape2
I1018 08:53:57.582464 4097533 op_desc.cc:1108] CompileTime infer shape on elementwise_mul
I1018 08:53:57.582911 4097533 op_desc.cc:1108] CompileTime infer shape on reshape2
I1018 08:53:57.583298 4097533 op_desc.cc:1108] CompileTime infer shape on elementwise_add
I1018 08:53:57.583673 4097533 op_desc.cc:1108] CompileTime infer shape on assign
I1018 08:53:57.583683 4097533 infershape_utils.cc:546] BuildInferMetaContext: op kernel signature - Kernel Signature - name: assign_raw; inputs: X; attributes: ; outputs: Out
I1018 08:53:57.584053 4097533 op_desc.cc:1108] CompileTime infer shape on assign
I1018 08:53:57.584061 4097533 infershape_utils.cc:546] BuildInferMetaContext: op kernel signature - Kernel Signature - name: assign_raw; inputs: X; attributes: ; outputs: Out
I1018 08:53:57.584422 4097533 op_desc.cc:1108] CompileTime infer shape on assign
I1018 08:53:57.584431 4097533 infershape_utils.cc:546] BuildInferMetaContext: op kernel signature - Kernel Signature - name: assign_raw; inputs: X; attributes: ; outputs: Out
I1018 08:53:57.584795 4097533 op_desc.cc:1108] CompileTime infer shape on assign
I1018 08:53:57.584805 4097533 infershape_utils.cc:546] BuildInferMetaContext: op kernel signature - Kernel Signature - name: assign_raw; inputs: X; attributes: ; outputs: Out
I1018 08:53:57.585361 4097533 op_desc.cc:1108] CompileTime infer shape on fill_constant
I1018 08:53:57.585789 4097533 op_desc.cc:1108] CompileTime infer shape on elementwise_max
I1018 08:53:57.585798 4097533 infershape_utils.cc:546] BuildInferMetaContext: op kernel signature - Kernel Signature - name: maximum_raw; inputs: X, Y; attributes: axis; outputs: Out
I1018 08:53:57.587854 4097533 op_desc.cc:1108] CompileTime infer shape on fill_constant
I1018 08:53:57.588320 4097533 op_desc.cc:1108] CompileTime infer shape on fill_constant
I1018 08:53:57.588774 4097533 op_desc.cc:1108] CompileTime infer shape on fill_constant
I1018 08:53:57.589160 4097533 op_desc.cc:1108] CompileTime infer shape on scale
I1018 08:53:57.589172 4097533 infershape_utils.cc:546] BuildInferMetaContext: op kernel signature - Kernel Signature - name: scale; inputs: X; attributes: scale, bias, bias_after_scale; outputs: Out
I1018 08:53:57.589628 4097533 op_desc.cc:1108] CompileTime infer shape on elementwise_pow
I1018 08:53:57.589638 4097533 infershape_utils.cc:546] BuildInferMetaContext: op kernel signature - Kernel Signature - name: elementwise_pow_raw; inputs: X, Y; attributes: axis; outputs: Out
I1018 08:53:57.590106 4097533 op_desc.cc:1108] CompileTime infer shape on reshape2
I1018 08:53:57.590503 4097533 op_desc.cc:1108] CompileTime infer shape on elementwise_sub
I1018 08:53:57.590950 4097533 op_desc.cc:1108] CompileTime infer shape on reshape2
I1018 08:53:57.591351 4097533 op_desc.cc:1108] CompileTime infer shape on scale
I1018 08:53:57.591363 4097533 infershape_utils.cc:546] BuildInferMetaContext: op kernel signature - Kernel Signature - name: scale; inputs: X; attributes: scale, bias, bias_after_scale; outputs: Out
I1018 08:53:57.591804 4097533 op_desc.cc:1108] CompileTime infer shape on elementwise_pow
I1018 08:53:57.591814 4097533 infershape_utils.cc:546] BuildInferMetaContext: op kernel signature - Kernel Signature - name: elementwise_pow_raw; inputs: X, Y; attributes: axis; outputs: Out
I1018 08:53:57.592216 4097533 op_desc.cc:1108] CompileTime infer shape on elementwise_mul
I1018 08:53:57.592670 4097533 op_desc.cc:1108] CompileTime infer shape on reshape2
I1018 08:53:57.593060 4097533 op_desc.cc:1108] CompileTime infer shape on elementwise_mul
I1018 08:53:57.593531 4097533 op_desc.cc:1108] CompileTime infer shape on reshape2
I1018 08:53:57.593930 4097533 op_desc.cc:1108] CompileTime infer shape on elementwise_add
I1018 08:53:57.594316 4097533 op_desc.cc:1108] CompileTime infer shape on assign
I1018 08:53:57.594326 4097533 infershape_utils.cc:546] BuildInferMetaContext: op kernel signature - Kernel Signature - name: assign_raw; inputs: X; attributes: ; outputs: Out
I1018 08:53:57.594696 4097533 op_desc.cc:1108] CompileTime infer shape on assign
I1018 08:53:57.594705 4097533 infershape_utils.cc:546] BuildInferMetaContext: op kernel signature - Kernel Signature - name: assign_raw; inputs: X; attributes: ; outputs: Out
I1018 08:53:57.595067 4097533 op_desc.cc:1108] CompileTime infer shape on assign
I1018 08:53:57.595077 4097533 infershape_utils.cc:546] BuildInferMetaContext: op kernel signature - Kernel Signature - name: assign_raw; inputs: X; attributes: ; outputs: Out
I1018 08:53:57.595441 4097533 op_desc.cc:1108] CompileTime infer shape on assign
I1018 08:53:57.595450 4097533 infershape_utils.cc:546] BuildInferMetaContext: op kernel signature - Kernel Signature - name: assign_raw; inputs: X; attributes: ; outputs: Out
I1018 08:53:57.597599 4097533 op_desc.cc:1108] CompileTime infer shape on fill_constant
I1018 08:53:57.598071 4097533 op_desc.cc:1108] CompileTime infer shape on fill_constant
I1018 08:53:57.598524 4097533 op_desc.cc:1108] CompileTime infer shape on fill_constant
I1018 08:53:57.598912 4097533 op_desc.cc:1108] CompileTime infer shape on scale
I1018 08:53:57.598924 4097533 infershape_utils.cc:546] BuildInferMetaContext: op kernel signature - Kernel Signature - name: scale; inputs: X; attributes: scale, bias, bias_after_scale; outputs: Out
I1018 08:53:57.599360 4097533 op_desc.cc:1108] CompileTime infer shape on elementwise_pow
I1018 08:53:57.599370 4097533 infershape_utils.cc:546] BuildInferMetaContext: op kernel signature - Kernel Signature - name: elementwise_pow_raw; inputs: X, Y; attributes: axis; outputs: Out
I1018 08:53:57.599828 4097533 op_desc.cc:1108] CompileTime infer shape on reshape2
I1018 08:53:57.600240 4097533 op_desc.cc:1108] CompileTime infer shape on elementwise_sub
I1018 08:53:57.600706 4097533 op_desc.cc:1108] CompileTime infer shape on reshape2
I1018 08:53:57.601096 4097533 op_desc.cc:1108] CompileTime infer shape on scale
I1018 08:53:57.601107 4097533 infershape_utils.cc:546] BuildInferMetaContext: op kernel signature - Kernel Signature - name: scale; inputs: X; attributes: scale, bias, bias_after_scale; outputs: Out
I1018 08:53:57.601560 4097533 op_desc.cc:1108] CompileTime infer shape on elementwise_pow
I1018 08:53:57.601570 4097533 infershape_utils.cc:546] BuildInferMetaContext: op kernel signature - Kernel Signature - name: elementwise_pow_raw; inputs: X, Y; attributes: axis; outputs: Out
I1018 08:53:57.601966 4097533 op_desc.cc:1108] CompileTime infer shape on elementwise_mul
I1018 08:53:57.602417 4097533 op_desc.cc:1108] CompileTime infer shape on reshape2
I1018 08:53:57.602806 4097533 op_desc.cc:1108] CompileTime infer shape on elementwise_mul
I1018 08:53:57.603253 4097533 op_desc.cc:1108] CompileTime infer shape on reshape2
I1018 08:53:57.603641 4097533 op_desc.cc:1108] CompileTime infer shape on elementwise_add
I1018 08:53:57.604025 4097533 op_desc.cc:1108] CompileTime infer shape on assign
I1018 08:53:57.604036 4097533 infershape_utils.cc:546] BuildInferMetaContext: op kernel signature - Kernel Signature - name: assign_raw; inputs: X; attributes: ; outputs: Out
I1018 08:53:57.604418 4097533 op_desc.cc:1108] CompileTime infer shape on assign
I1018 08:53:57.604429 4097533 infershape_utils.cc:546] BuildInferMetaContext: op kernel signature - Kernel Signature - name: assign_raw; inputs: X; attributes: ; outputs: Out
I1018 08:53:57.604796 4097533 op_desc.cc:1108] CompileTime infer shape on assign
I1018 08:53:57.604805 4097533 infershape_utils.cc:546] BuildInferMetaContext: op kernel signature - Kernel Signature - name: assign_raw; inputs: X; attributes: ; outputs: Out
I1018 08:53:57.605165 4097533 op_desc.cc:1108] CompileTime infer shape on assign
I1018 08:53:57.605173 4097533 infershape_utils.cc:546] BuildInferMetaContext: op kernel signature - Kernel Signature - name: assign_raw; inputs: X; attributes: ; outputs: Out
I1018 08:53:57.607333 4097533 op_desc.cc:1108] CompileTime infer shape on fill_constant
I1018 08:53:57.607779 4097533 op_desc.cc:1108] CompileTime infer shape on elementwise_max
I1018 08:53:57.607789 4097533 infershape_utils.cc:546] BuildInferMetaContext: op kernel signature - Kernel Signature - name: maximum_raw; inputs: X, Y; attributes: axis; outputs: Out
I1018 08:53:57.610002 4097533 op_desc.cc:1108] CompileTime infer shape on fill_constant
I1018 08:53:57.610458 4097533 op_desc.cc:1108] CompileTime infer shape on fill_constant
I1018 08:53:57.610901 4097533 op_desc.cc:1108] CompileTime infer shape on fill_constant
I1018 08:53:57.611284 4097533 op_desc.cc:1108] CompileTime infer shape on scale
I1018 08:53:57.611296 4097533 infershape_utils.cc:546] BuildInferMetaContext: op kernel signature - Kernel Signature - name: scale; inputs: X; attributes: scale, bias, bias_after_scale; outputs: Out
I1018 08:53:57.611744 4097533 op_desc.cc:1108] CompileTime infer shape on elementwise_pow
I1018 08:53:57.611753 4097533 infershape_utils.cc:546] BuildInferMetaContext: op kernel signature - Kernel Signature - name: elementwise_pow_raw; inputs: X, Y; attributes: axis; outputs: Out
I1018 08:53:57.612216 4097533 op_desc.cc:1108] CompileTime infer shape on reshape2
I1018 08:53:57.612617 4097533 op_desc.cc:1108] CompileTime infer shape on elementwise_sub
I1018 08:53:57.613080 4097533 op_desc.cc:1108] CompileTime infer shape on reshape2
I1018 08:53:57.613474 4097533 op_desc.cc:1108] CompileTime infer shape on scale
I1018 08:53:57.613487 4097533 infershape_utils.cc:546] BuildInferMetaContext: op kernel signature - Kernel Signature - name: scale; inputs: X; attributes: scale, bias, bias_after_scale; outputs: Out
I1018 08:53:57.613919 4097533 op_desc.cc:1108] CompileTime infer shape on elementwise_pow
I1018 08:53:57.613927 4097533 infershape_utils.cc:546] BuildInferMetaContext: op kernel signature - Kernel Signature - name: elementwise_pow_raw; inputs: X, Y; attributes: axis; outputs: Out
I1018 08:53:57.614326 4097533 op_desc.cc:1108] CompileTime infer shape on elementwise_mul
I1018 08:53:57.614778 4097533 op_desc.cc:1108] CompileTime infer shape on reshape2
I1018 08:53:57.615167 4097533 op_desc.cc:1108] CompileTime infer shape on elementwise_mul
I1018 08:53:57.615619 4097533 op_desc.cc:1108] CompileTime infer shape on reshape2
I1018 08:53:57.616017 4097533 op_desc.cc:1108] CompileTime infer shape on elementwise_add
I1018 08:53:57.616401 4097533 op_desc.cc:1108] CompileTime infer shape on assign
I1018 08:53:57.616411 4097533 infershape_utils.cc:546] BuildInferMetaContext: op kernel signature - Kernel Signature - name: assign_raw; inputs: X; attributes: ; outputs: Out
I1018 08:53:57.616777 4097533 op_desc.cc:1108] CompileTime infer shape on assign
I1018 08:53:57.616786 4097533 infershape_utils.cc:546] BuildInferMetaContext: op kernel signature - Kernel Signature - name: assign_raw; inputs: X; attributes: ; outputs: Out
I1018 08:53:57.617146 4097533 op_desc.cc:1108] CompileTime infer shape on assign
I1018 08:53:57.617161 4097533 infershape_utils.cc:546] BuildInferMetaContext: op kernel signature - Kernel Signature - name: assign_raw; inputs: X; attributes: ; outputs: Out
I1018 08:53:57.617530 4097533 op_desc.cc:1108] CompileTime infer shape on assign
I1018 08:53:57.617540 4097533 infershape_utils.cc:546] BuildInferMetaContext: op kernel signature - Kernel Signature - name: assign_raw; inputs: X; attributes: ; outputs: Out
I1018 08:53:57.618077 4097533 op_desc.cc:1108] CompileTime infer shape on fill_constant
I1018 08:53:57.618525 4097533 op_desc.cc:1108] CompileTime infer shape on elementwise_max
I1018 08:53:57.618534 4097533 infershape_utils.cc:546] BuildInferMetaContext: op kernel signature - Kernel Signature - name: maximum_raw; inputs: X, Y; attributes: axis; outputs: Out
I1018 08:53:57.620769 4097533 op_desc.cc:1108] CompileTime infer shape on fill_constant
I1018 08:53:57.621243 4097533 op_desc.cc:1108] CompileTime infer shape on fill_constant
I1018 08:53:57.621701 4097533 op_desc.cc:1108] CompileTime infer shape on fill_constant
I1018 08:53:57.622085 4097533 op_desc.cc:1108] CompileTime infer shape on scale
I1018 08:53:57.622097 4097533 infershape_utils.cc:546] BuildInferMetaContext: op kernel signature - Kernel Signature - name: scale; inputs: X; attributes: scale, bias, bias_after_scale; outputs: Out
I1018 08:53:57.622534 4097533 op_desc.cc:1108] CompileTime infer shape on elementwise_pow
I1018 08:53:57.622543 4097533 infershape_utils.cc:546] BuildInferMetaContext: op kernel signature - Kernel Signature - name: elementwise_pow_raw; inputs: X, Y; attributes: axis; outputs: Out
I1018 08:53:57.623020 4097533 op_desc.cc:1108] CompileTime infer shape on reshape2
I1018 08:53:57.623420 4097533 op_desc.cc:1108] CompileTime infer shape on elementwise_sub
I1018 08:53:57.623879 4097533 op_desc.cc:1108] CompileTime infer shape on reshape2
I1018 08:53:57.624266 4097533 op_desc.cc:1108] CompileTime infer shape on scale
I1018 08:53:57.624279 4097533 infershape_utils.cc:546] BuildInferMetaContext: op kernel signature - Kernel Signature - name: scale; inputs: X; attributes: scale, bias, bias_after_scale; outputs: Out
I1018 08:53:57.624712 4097533 op_desc.cc:1108] CompileTime infer shape on elementwise_pow
I1018 08:53:57.624722 4097533 infershape_utils.cc:546] BuildInferMetaContext: op kernel signature - Kernel Signature - name: elementwise_pow_raw; inputs: X, Y; attributes: axis; outputs: Out
I1018 08:53:57.625116 4097533 op_desc.cc:1108] CompileTime infer shape on elementwise_mul
I1018 08:53:57.625573 4097533 op_desc.cc:1108] CompileTime infer shape on reshape2
I1018 08:53:57.625962 4097533 op_desc.cc:1108] CompileTime infer shape on elementwise_mul
I1018 08:53:57.626396 4097533 op_desc.cc:1108] CompileTime infer shape on reshape2
I1018 08:53:57.626780 4097533 op_desc.cc:1108] CompileTime infer shape on elementwise_add
I1018 08:53:57.627169 4097533 op_desc.cc:1108] CompileTime infer shape on assign
I1018 08:53:57.627180 4097533 infershape_utils.cc:546] BuildInferMetaContext: op kernel signature - Kernel Signature - name: assign_raw; inputs: X; attributes: ; outputs: Out
I1018 08:53:57.627552 4097533 op_desc.cc:1108] CompileTime infer shape on assign
I1018 08:53:57.627561 4097533 infershape_utils.cc:546] BuildInferMetaContext: op kernel signature - Kernel Signature - name: assign_raw; inputs: X; attributes: ; outputs: Out
I1018 08:53:57.627923 4097533 op_desc.cc:1108] CompileTime infer shape on assign
I1018 08:53:57.627933 4097533 infershape_utils.cc:546] BuildInferMetaContext: op kernel signature - Kernel Signature - name: assign_raw; inputs: X; attributes: ; outputs: Out
I1018 08:53:57.628288 4097533 op_desc.cc:1108] CompileTime infer shape on assign
I1018 08:53:57.628297 4097533 infershape_utils.cc:546] BuildInferMetaContext: op kernel signature - Kernel Signature - name: assign_raw; inputs: X; attributes: ; outputs: Out
I1018 08:53:57.630530 4097533 op_desc.cc:1108] CompileTime infer shape on fill_constant
I1018 08:53:57.630956 4097533 op_desc.cc:1108] CompileTime infer shape on elementwise_max
I1018 08:53:57.630971 4097533 infershape_utils.cc:546] BuildInferMetaContext: op kernel signature - Kernel Signature - name: maximum_raw; inputs: X, Y; attributes: axis; outputs: Out
I1018 08:53:57.633216 4097533 op_desc.cc:1108] CompileTime infer shape on reshape2
I1018 08:53:57.640628 4097533 op_desc.cc:1108] CompileTime infer shape on conv2d
I1018 08:53:57.640646 4097533 infershape_utils.cc:546] BuildInferMetaContext: op kernel signature - Kernel Signature - name: conv2d; inputs: Input, Filter; attributes: strides, paddings, padding_algorithm, dilations, groups, data_format; outputs: Output
I1018 08:53:57.640676 4097533 op_desc.cc:1108] CompileTime infer shape on fill_constant
I1018 08:53:57.640687 4097533 op_desc.cc:1108] CompileTime infer shape on fill_constant
I1018 08:53:57.640694 4097533 op_desc.cc:1108] CompileTime infer shape on fill_constant
I1018 08:53:57.640702 4097533 op_desc.cc:1108] CompileTime infer shape on scale
I1018 08:53:57.640708 4097533 infershape_utils.cc:546] BuildInferMetaContext: op kernel signature - Kernel Signature - name: scale; inputs: X; attributes: scale, bias, bias_after_scale; outputs: Out
I1018 08:53:57.640720 4097533 op_desc.cc:1108] CompileTime infer shape on elementwise_pow
I1018 08:53:57.640725 4097533 infershape_utils.cc:546] BuildInferMetaContext: op kernel signature - Kernel Signature - name: elementwise_pow_raw; inputs: X, Y; attributes: axis; outputs: Out
I1018 08:53:57.640738 4097533 op_desc.cc:1108] CompileTime infer shape on reshape2
I1018 08:53:57.640753 4097533 op_desc.cc:1108] CompileTime infer shape on elementwise_sub
I1018 08:53:57.640767 4097533 op_desc.cc:1108] CompileTime infer shape on reshape2
I1018 08:53:57.640779 4097533 op_desc.cc:1108] CompileTime infer shape on scale
I1018 08:53:57.640784 4097533 infershape_utils.cc:546] BuildInferMetaContext: op kernel signature - Kernel Signature - name: scale; inputs: X; attributes: scale, bias, bias_after_scale; outputs: Out
I1018 08:53:57.640794 4097533 op_desc.cc:1108] CompileTime infer shape on elementwise_pow
I1018 08:53:57.640797 4097533 infershape_utils.cc:546] BuildInferMetaContext: op kernel signature - Kernel Signature - name: elementwise_pow_raw; inputs: X, Y; attributes: axis; outputs: Out
I1018 08:53:57.640808 4097533 op_desc.cc:1108] CompileTime infer shape on elementwise_mul
I1018 08:53:57.640821 4097533 op_desc.cc:1108] CompileTime infer shape on reshape2
I1018 08:53:57.640832 4097533 op_desc.cc:1108] CompileTime infer shape on elementwise_mul
I1018 08:53:57.640844 4097533 op_desc.cc:1108] CompileTime infer shape on reshape2
I1018 08:53:57.640856 4097533 op_desc.cc:1108] CompileTime infer shape on elementwise_add
I1018 08:53:57.640867 4097533 op_desc.cc:1108] CompileTime infer shape on assign
I1018 08:53:57.640873 4097533 infershape_utils.cc:546] BuildInferMetaContext: op kernel signature - Kernel Signature - name: assign_raw; inputs: X; attributes: ; outputs: Out
I1018 08:53:57.640882 4097533 op_desc.cc:1108] CompileTime infer shape on assign
I1018 08:53:57.640885 4097533 infershape_utils.cc:546] BuildInferMetaContext: op kernel signature - Kernel Signature - name: assign_raw; inputs: X; attributes: ; outputs: Out
I1018 08:53:57.640893 4097533 op_desc.cc:1108] CompileTime infer shape on assign
I1018 08:53:57.640897 4097533 infershape_utils.cc:546] BuildInferMetaContext: op kernel signature - Kernel Signature - name: assign_raw; inputs: X; attributes: ; outputs: Out
I1018 08:53:57.640904 4097533 op_desc.cc:1108] CompileTime infer shape on assign
I1018 08:53:57.640908 4097533 infershape_utils.cc:546] BuildInferMetaContext: op kernel signature - Kernel Signature - name: assign_raw; inputs: X; attributes: ; outputs: Out
I1018 08:53:57.640916 4097533 op_desc.cc:1108] CompileTime infer shape on fill_constant
I1018 08:53:57.640924 4097533 op_desc.cc:1108] CompileTime infer shape on elementwise_max
I1018 08:53:57.640928 4097533 infershape_utils.cc:546] BuildInferMetaContext: op kernel signature - Kernel Signature - name: maximum_raw; inputs: X, Y; attributes: axis; outputs: Out
I1018 08:53:57.640939 4097533 op_desc.cc:1108] CompileTime infer shape on pool2d
I1018 08:53:57.640950 4097533 infershape_utils.cc:546] BuildInferMetaContext: op kernel signature - Kernel Signature - name: pool2d; inputs: X; attributes: ksize, strides, paddings, ceil_mode, exclusive, data_format, pooling_type, global_pooling, adaptive, padding_algorithm; outputs: Out
I1018 08:53:57.640969 4097533 op_desc.cc:1108] CompileTime infer shape on conv2d
I1018 08:53:57.640974 4097533 infershape_utils.cc:546] BuildInferMetaContext: op kernel signature - Kernel Signature - name: conv2d; inputs: Input, Filter; attributes: strides, paddings, padding_algorithm, dilations, groups, data_format; outputs: Output
I1018 08:53:57.640990 4097533 op_desc.cc:1108] CompileTime infer shape on fill_constant
I1018 08:53:57.640997 4097533 op_desc.cc:1108] CompileTime infer shape on fill_constant
I1018 08:53:57.641005 4097533 op_desc.cc:1108] CompileTime infer shape on fill_constant
I1018 08:53:57.641012 4097533 op_desc.cc:1108] CompileTime infer shape on scale
I1018 08:53:57.641016 4097533 infershape_utils.cc:546] BuildInferMetaContext: op kernel signature - Kernel Signature - name: scale; inputs: X; attributes: scale, bias, bias_after_scale; outputs: Out
I1018 08:53:57.641026 4097533 op_desc.cc:1108] CompileTime infer shape on elementwise_pow
I1018 08:53:57.641031 4097533 infershape_utils.cc:546] BuildInferMetaContext: op kernel signature - Kernel Signature - name: elementwise_pow_raw; inputs: X, Y; attributes: axis; outputs: Out
I1018 08:53:57.641041 4097533 op_desc.cc:1108] CompileTime infer shape on reshape2
I1018 08:53:57.641053 4097533 op_desc.cc:1108] CompileTime infer shape on elementwise_sub
I1018 08:53:57.641065 4097533 op_desc.cc:1108] CompileTime infer shape on reshape2
